[2024-07-27 00:09:01,931]510INFO-Received data length: 1843301
[2024-07-27 00:09:02,340]510INFO-Received data length: 1843301
[2024-07-27 00:09:02,733]510INFO-Received data length: 1843301
[2024-07-27 00:09:03,133]510INFO-Received data length: 1843302
[2024-07-27 00:09:03,541]510INFO-Received data length: 1843302
[2024-07-27 00:09:03,989]510INFO-Received data length: 1843302
[2024-07-27 00:09:04,391]510INFO-Received data length: 1843302
[2024-07-27 00:09:04,786]510INFO-Received data length: 1843302
[2024-07-27 00:09:05,183]510INFO-Received data length: 1843302
[2024-07-27 00:09:05,568]510INFO-Received data length: 1843302
[2024-07-27 00:09:05,958]510INFO-Received data length: 1843302
[2024-07-27 00:09:06,389]510INFO-Received data length: 1843302
[2024-07-27 00:09:06,783]510INFO-Received data length: 1843302
[2024-07-27 00:09:07,186]510INFO-Received data length: 1843302
[2024-07-27 00:09:07,589]510INFO-Received data length: 1843302
[2024-07-27 00:09:07,998]510INFO-Received data length: 1843302
[2024-07-27 00:09:08,493]510INFO-Received data length: 1843302
[2024-07-27 00:09:08,886]510INFO-Received data length: 1843302
[2024-07-27 00:09:09,300]510INFO-Received data length: 1843302
[2024-07-27 00:09:09,721]510INFO-Received data length: 1843302
[2024-07-27 00:09:10,183]510INFO-Received data length: 1843302
[2024-07-27 00:09:10,585]510INFO-Received data length: 1843302
[2024-07-27 00:09:10,973]510INFO-Received data length: 1843302
[2024-07-27 00:09:11,389]510INFO-Received data length: 1843302
[2024-07-27 00:09:11,787]510INFO-Received data length: 1843302
[2024-07-27 00:09:12,187]510INFO-Received data length: 1843302
[2024-07-27 00:09:12,586]510INFO-Received data length: 1843302
[2024-07-27 00:09:12,981]510INFO-Received data length: 1843302
[2024-07-27 00:09:13,397]510INFO-Received data length: 1843302
[2024-07-27 00:09:13,807]510INFO-Received data length: 1843302
[2024-07-27 00:09:14,233]510INFO-Received data length: 1843302
[2024-07-27 00:09:14,690]510INFO-Received data length: 1843302
[2024-07-27 00:09:15,078]510INFO-Received data length: 1843302
[2024-07-27 00:09:15,474]510INFO-Received data length: 1843303
[2024-07-27 00:09:15,847]510INFO-Received data length: 1843303
[2024-07-27 00:09:16,255]510INFO-Received data length: 1843303
[2024-07-27 00:09:16,648]510INFO-Received data length: 1843303
[2024-07-27 00:09:17,097]510INFO-Received data length: 1843303
[2024-07-27 00:09:17,490]510INFO-Received data length: 1843303
[2024-07-27 00:09:17,915]510INFO-Received data length: 1843303
[2024-07-27 00:09:18,278]510INFO-Received data length: 1843303
[2024-07-27 00:09:18,662]510INFO-Received data length: 1843303
[2024-07-27 00:09:19,052]510INFO-Received data length: 1843303
[2024-07-27 00:09:19,443]510INFO-Received data length: 1843303
[2024-07-27 00:09:19,840]510INFO-Received data length: 1843303
[2024-07-27 00:09:20,245]510INFO-Received data length: 1843303
[2024-07-27 00:09:20,652]510INFO-Received data length: 1843303
[2024-07-27 00:09:21,041]510INFO-Received data length: 1843303
[2024-07-27 00:09:21,461]510INFO-Received data length: 1843303
[2024-07-27 00:09:21,923]510INFO-Received data length: 1843303
[2024-07-27 00:09:22,321]510INFO-Received data length: 1843303
[2024-07-27 00:09:22,718]510INFO-Received data length: 1843303
[2024-07-27 00:09:23,204]510INFO-Received data length: 1843303
[2024-07-27 00:09:23,615]510INFO-Received data length: 1843303
[2024-07-27 00:09:24,020]510INFO-Received data length: 1843303
[2024-07-27 00:09:24,414]510INFO-Received data length: 1843303
[2024-07-27 00:09:24,814]510INFO-Received data length: 1843303
[2024-07-27 00:09:25,208]510INFO-Received data length: 1843303
[2024-07-27 00:09:25,600]510INFO-Received data length: 1843303
[2024-07-27 00:09:26,005]510INFO-Received data length: 1843303
[2024-07-27 00:09:26,430]510INFO-Received data length: 1843303
[2024-07-27 00:09:26,853]510INFO-Received data length: 1843303
[2024-07-27 00:09:27,319]510INFO-Received data length: 1843303
[2024-07-27 00:09:27,718]510INFO-Received data length: 1843303
[2024-07-27 00:09:28,109]510INFO-Received data length: 1843303
[2024-07-27 00:09:28,517]510INFO-Received data length: 1843303
[2024-07-27 00:09:28,920]510INFO-Received data length: 1843303
[2024-07-27 00:09:29,316]510INFO-Received data length: 1843303
[2024-07-27 00:09:29,718]510INFO-Received data length: 1843303
[2024-07-27 00:09:30,129]510INFO-Received data length: 1843303
[2024-07-27 00:09:30,551]510INFO-Received data length: 1843303
[2024-07-27 00:09:30,949]510INFO-Received data length: 1843303
[2024-07-27 00:09:31,343]510INFO-Received data length: 1843303
[2024-07-27 00:09:31,773]510INFO-Received data length: 1843303
[2024-07-27 00:09:32,143]510INFO-Received data length: 1843303
[2024-07-27 00:09:32,580]510INFO-Received data length: 1843303
[2024-07-27 00:09:32,975]510INFO-Received data length: 1843303
[2024-07-27 00:09:33,382]510INFO-Received data length: 1843303
[2024-07-27 00:09:33,782]510INFO-Received data length: 1843303
[2024-07-27 00:09:34,259]510INFO-Received data length: 1843303
[2024-07-27 00:09:34,712]510INFO-Received data length: 1843303
[2024-07-27 00:09:35,106]510INFO-Received data length: 1843303
[2024-07-27 00:09:35,509]510INFO-Received data length: 1843303
[2024-07-27 00:09:36,051]510INFO-Received data length: 1843303
[2024-07-27 00:09:36,469]510INFO-Received data length: 1843303
[2024-07-27 00:09:36,882]510INFO-Received data length: 1843303
[2024-07-27 00:09:37,287]510INFO-Received data length: 1843303
[2024-07-27 00:09:37,691]510INFO-Received data length: 1843303
[2024-07-27 00:09:38,089]510INFO-Received data length: 1843303
[2024-07-27 00:09:38,507]510INFO-Received data length: 1843303
[2024-07-27 00:09:38,942]510INFO-Received data length: 1843303
[2024-07-27 00:09:39,341]510INFO-Received data length: 1843303
[2024-07-27 00:09:39,770]510INFO-Received data length: 1843303
[2024-07-27 00:09:40,181]510INFO-Received data length: 1843303
[2024-07-27 00:09:40,584]510INFO-Received data length: 1843303
[2024-07-27 00:09:40,983]510INFO-Received data length: 1843303
[2024-07-27 00:09:41,382]510INFO-Received data length: 1843303
[2024-07-27 00:09:41,831]510INFO-Received data length: 1843303
[2024-07-27 00:09:42,240]510INFO-Received data length: 1843303
[2024-07-27 00:09:42,625]510INFO-Received data length: 1843303
[2024-07-27 00:09:43,009]510INFO-Received data length: 1843303
[2024-07-27 00:09:43,389]510INFO-Received data length: 1843303
[2024-07-27 00:09:43,784]510INFO-Received data length: 1843303
[2024-07-27 00:09:44,164]510INFO-Received data length: 1843303
[2024-07-27 00:09:44,543]510INFO-Received data length: 1843303
[2024-07-27 00:09:44,938]510INFO-Received data length: 1843303
[2024-07-27 00:09:45,345]510INFO-Received data length: 1843303
[2024-07-27 00:09:45,806]510INFO-Received data length: 1843303
[2024-07-27 00:09:46,207]510INFO-Received data length: 1843303
[2024-07-27 00:09:46,604]510INFO-Received data length: 1843303
[2024-07-27 00:09:47,015]510INFO-Received data length: 1843303
[2024-07-27 00:09:47,420]510INFO-Received data length: 1843303
[2024-07-27 00:09:47,802]510INFO-Received data length: 1843303
[2024-07-27 00:09:48,190]510INFO-Received data length: 1843303
[2024-07-27 00:09:48,635]510INFO-Received data length: 1843303
[2024-07-27 00:09:49,034]510INFO-Received data length: 1843303
[2024-07-27 00:09:49,428]510INFO-Received data length: 1843303
[2024-07-27 00:09:49,829]510INFO-Received data length: 1843303
[2024-07-27 00:09:50,238]510INFO-Received data length: 1843303
[2024-07-27 00:09:50,642]510INFO-Received data length: 1843303
[2024-07-27 00:09:51,036]510INFO-Received data length: 1843303
[2024-07-27 00:09:51,482]510INFO-Received data length: 1843303
[2024-07-27 00:09:51,954]510INFO-Received data length: 1843303
[2024-07-27 00:09:52,362]510INFO-Received data length: 1843303
[2024-07-27 00:09:52,776]510INFO-Received data length: 1843303
[2024-07-27 00:09:53,162]510INFO-Received data length: 1843303
[2024-07-27 00:09:53,576]510INFO-Received data length: 1843303
[2024-07-27 00:09:53,983]510INFO-Received data length: 1843303
[2024-07-27 00:09:54,382]510INFO-Received data length: 1843303
[2024-07-27 00:09:54,875]510INFO-Received data length: 1843303
[2024-07-27 00:09:55,273]510INFO-Received data length: 1843303
[2024-07-27 00:09:55,677]510INFO-Received data length: 1843303
[2024-07-27 00:09:56,078]510INFO-Received data length: 1843303
[2024-07-27 00:09:56,475]510INFO-Received data length: 1843303
[2024-07-27 00:09:56,883]510INFO-Received data length: 1843303
[2024-07-27 00:09:57,286]510INFO-Received data length: 1843303
[2024-07-27 00:09:57,698]510INFO-Received data length: 1843303
[2024-07-27 00:09:58,145]510INFO-Received data length: 1843303
[2024-07-27 00:09:58,541]510INFO-Received data length: 1843303
[2024-07-27 00:09:58,938]510INFO-Received data length: 1843303
[2024-07-27 00:09:59,333]510INFO-Received data length: 1843303
[2024-07-27 00:09:59,727]510INFO-Received data length: 1843303
[2024-07-27 00:10:00,164]510INFO-Received data length: 1843303
[2024-07-27 00:10:00,559]510INFO-Received data length: 1843303
[2024-07-27 00:10:00,966]510INFO-Received data length: 1843303
[2024-07-27 00:10:01,411]510INFO-Received data length: 1843303
[2024-07-27 00:10:01,804]510INFO-Received data length: 1843303
[2024-07-27 00:10:02,187]510INFO-Received data length: 1843303
[2024-07-27 00:10:02,547]510INFO-Received data length: 1843303
[2024-07-27 00:10:02,928]510INFO-Received data length: 1843303
[2024-07-27 00:10:03,353]510INFO-Received data length: 1843303
[2024-07-27 00:10:03,710]510INFO-Received data length: 1843303
[2024-07-27 00:10:04,101]510INFO-Received data length: 1843303
[2024-07-27 00:10:04,512]510INFO-Received data length: 1843303
[2024-07-27 00:10:04,903]510INFO-Received data length: 1843303
[2024-07-27 00:10:05,310]510INFO-Received data length: 1843303
[2024-07-27 00:10:05,716]510INFO-Received data length: 1843303
[2024-07-27 00:10:06,076]510INFO-Received data length: 1843303
[2024-07-27 00:10:06,420]510INFO-Received data length: 1843303
[2024-07-27 00:10:06,779]510INFO-Received data length: 1843303
[2024-07-27 00:10:06,779]549ERROR-WebSocket connection closed: (<CloseCode.ABNORMAL_CLOSURE: 1006>, None)
